"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1008,15,10,42,35
1008,9,0,0,0
1233,80,18,135,380
1044,84,18,135,380
1039,42,18,136,398
1008,27,15,90,190
1008,27,18,135,380
1233,80,18,190,658
1039,39,18,190,658
1233,80,6,9,0
1044,84,6,9,0
1039,42,6,9,0
1039,42,6,9,0
1034,38,33,538,3609
1022,30,21,200,703
1017,32,27,324,1596
1233,80,33,575,3945
1044,84,33,546,3457
1039,40,33,516,3228
1039,40,33,550,3649
1039,42,33,527,3383
1017,31,18,135,380
1027,35,30,455,2790
1233,80,39,936,9056
1044,84,39,893,8227
1039,42,39,771,6205
1039,42,39,885,8219
1039,42,39,915,8899
1039,42,39,857,7597
1009,23,6,9,0
1008,9,3,0,0
1044,84,3,0,0
1007,3,3,0,0
1039,38,18,135,380
1014,29,18,172,562
1044,84,18,172,562
1039,38,18,135,380
1008,22,12,54,76
1233,80,12,54,76
1044,84,12,54,76
1039,38,12,54,76
1039,38,12,54,76
1039,38,30,473,2808
1034,36,27,324,1596
1233,80,30,501,2975
1039,35,18,135,380
1039,38,30,435,2451
1039,38,15,90,190
1039,38,18,179,580
1039,38,15,90,190
1039,38,30,577,3628
1039,38,18,135,380
1233,80,33,1063,9518
1039,38,26,390,1905
1044,84,33,960,8104
1039,32,0,0,0
1039,35,9,27,19
1039,51,33,770,6003
1039,38,33,613,4437
1233,80,21,189,665
1044,84,21,229,873
1008,17,9,27,19
1039,32,21,195,671
1008,22,18,135,380
1008,11,6,9,0
1233,80,18,152,475
1008,19,18,135,380
1039,38,18,135,380
1017,27,16,124,302
1044,84,18,163,486
1039,32,18,135,380
1233,80,9,27,19
1039,42,10,42,35
1233,80,36,625,4373
1044,84,36,604,4217
1039,42,36,625,4373
1039,42,36,604,4217
1039,42,36,594,4180
1008,7,3,0,0
1233,80,18,229,836
1008,15,9,27,19
1033,31,18,172,562
1039,42,18,210,733
1233,80,30,533,3329
1044,84,30,425,2372
1039,36,30,405,2280
1233,80,18,135,380
1044,84,18,135,380
1044,84,9,37,30
1233,80,6,9,0
1044,84,6,9,0
1233,80,24,352,1866
1044,84,24,361,1903
1008,18,9,27,19
1008,17,6,9,0
1008,16,3,0,0
1039,42,24,336,1711
1233,80,18,135,380
1044,84,18,135,404
1027,28,18,135,380
1008,9,9,27,19
1008,9,9,27,19
1008,11,6,9,0
1008,8,6,9,0
1044,84,12,54,76
1008,9,3,0,0
1039,42,12,54,76
1008,7,3,0,0
1233,80,21,199,805
1044,84,21,199,805
1233,80,6,9,0
1044,84,6,9,0
1233,80,0,0,0
1008,6,0,0,0
1008,6,0,0,0
1039,42,0,0,0
1044,84,9,27,19
1039,28,9,27,19
1233,80,30,455,2790
1039,35,30,405,2280
1039,38,30,455,2790
1008,21,9,27,19
1039,38,12,54,76
1233,80,21,189,665
1233,80,3,0,0
1233,80,18,155,535
1233,80,21,189,665
1233,80,34,811,7182
1233,86,42,2252,26985
1233,80,9,27,19
1233,80,21,201,991
1233,80,21,201,878
1233,80,21,201,991
1233,80,18,135,380
1233,80,42,1048,10400
1233,80,9,27,19
1233,80,42,1468,19254
1233,80,21,201,878
1233,80,42,1441,18356
1233,80,21,200,704
1233,80,33,860,6988
1233,80,6,9,0
1233,80,21,189,665
