"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex","4,2-HhIndex","5,2-HhIndex"
1039,53,36,267,531
968,52,34,231,441
708,26,15,45,55
685,18,3,0,0
975,44,34,231,441
949,43,33,198,363
1480,68,36,258,496
920,38,27,135,219
1372,64,35,258,496
1114,52,36,258,496
1062,48,33,198,363
760,34,24,108,164
1029,49,25,132,209
1381,48,25,135,223
727,31,24,108,164
1250,48,25,135,223
965,36,25,132,209
625,22,12,30,34
656,40,35,231,441
989,43,35,231,441
1359,47,36,267,531
1223,47,36,267,531
898,45,36,267,531
817,44,34,231,441
958,43,34,222,408
1341,46,36,254,486
1201,45,36,254,486
862,43,35,254,486
1489,60,36,283,550
928,39,28,159,264
1383,54,36,283,550
1125,45,36,283,550
1075,41,33,198,363
1114,28,9,18,19
1326,43,30,186,319
1660,90,39,318,650
1419,66,39,316,650
1404,55,34,231,441
1282,24,9,18,19
1293,29,15,56,70
1287,26,12,30,34
1282,23,6,9,0
1281,21,3,0,0
1281,21,0,0,0
1114,28,12,33,34
199,11,9,18,19
615,21,12,30,34
192,7,3,0,0
192,7,3,0,0
1184,43,30,186,319
828,40,29,186,319
362,18,9,18,19
1113,28,6,9,0
1309,54,39,316,650
1113,28,9,18,19
1271,54,34,231,441
1121,31,15,56,70
1112,27,9,18,19
1116,30,12,30,34
1110,26,6,9,0
1111,28,9,18,19
992,48,34,231,441
711,22,9,18,19
721,24,12,30,34
190,8,6,9,0
214,13,9,18,19
180,3,3,0,0
770,13,3,0,0
2197,190,18,63,83
1875,92,18,63,83
1871,71,18,63,83
1858,107,18,63,83
2005,128,18,63,83
1828,70,18,63,83
1802,13,6,9,0
1762,73,18,63,83
1603,13,9,18,19
1703,96,18,63,83
1710,81,18,63,83
1923,108,18,63,83
1655,49,18,63,83
1165,49,18,63,83
1145,48,18,63,83
1492,71,18,63,83
998,35,18,63,83
701,13,9,18,19
1243,13,9,18,19
1110,55,18,63,83
1459,54,18,63,83
962,38,18,63,83
1443,50,18,63,83
942,53,18,63,83
713,12,6,9,0
1349,40,18,63,83
478,12,6,9,0
1698,96,6,9,0
1599,9,6,9,0
1603,13,3,0,0
690,9,6,9,0
705,11,3,0,0
56,2,0,0,0
1604,16,0,0,0
1800,17,6,9,0
99,7,6,9,0
2197,190,14,44,40
1839,55,12,36,38
1804,22,12,34,36
1800,20,11,27,27
1800,17,3,0,0
1800,17,6,9,0
1806,26,10,27,27
1800,16,3,0,0
1828,47,15,45,42
1813,35,10,27,27
1800,17,3,0,0
1800,23,10,21,19
1800,17,6,9,0
1800,15,0,0,0
1669,52,12,36,38
1609,19,9,18,19
1615,21,10,27,27
1657,44,12,34,37
1626,32,10,27,27
652,23,10,27,27
890,43,11,27,28
759,31,10,27,27
136,18,14,51,57
548,26,15,49,53
140,21,13,47,54
154,18,12,42,49
133,15,12,42,49
130,13,12,30,34
534,23,12,45,44
130,20,12,47,54
136,15,12,42,49
113,15,12,42,49
112,13,12,30,34
310,8,3,0,0
395,19,9,18,19
684,31,9,18,19
526,18,3,0,0
536,26,18,81,103
527,20,15,47,55
548,26,12,30,34
525,18,15,60,76
525,20,12,30,34
525,18,15,60,76
525,18,15,45,55
525,18,15,60,76
525,18,15,60,76
121,17,15,47,55
