"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
1915,75,36,585,3990
1425,28,9,27,19
1455,36,18,117,247
1437,31,12,54,76
1419,25,6,9,0
1415,23,3,0,0
1413,21,0,0,0
1239,36,15,72,95
215,14,9,27,19
703,24,12,54,76
203,9,3,0,0
203,9,3,0,0
1418,57,33,459,2527
976,50,36,477,2546
392,18,9,27,19
1228,28,6,9,0
1814,79,48,864,6251
1232,32,12,36,19
1720,77,39,612,4047
1260,40,21,135,266
1227,30,9,27,19
1242,34,12,54,76
1223,28,6,9,0
1227,30,9,27,19
1278,59,36,585,3990
788,24,9,27,19
800,26,12,54,76
199,8,6,9,0
231,13,9,27,19
184,3,3,0,0
796,14,3,0,0
3433,204,18,135,380
2562,105,18,135,380
2516,81,18,135,380
2521,121,21,144,380
3067,142,18,135,380
2288,82,21,144,380
1846,13,6,9,0
2361,83,18,135,380
1642,13,9,27,19
2315,110,21,153,399
2320,93,18,135,380
2866,120,21,153,399
2087,57,18,135,380
1444,54,18,135,380
1449,55,18,135,380
1995,82,18,135,380
1216,37,18,135,380
725,13,9,27,19
1276,13,9,27,19
1403,64,18,135,380
1949,62,21,153,399
1170,42,18,135,380
1954,55,18,135,380
1175,64,21,144,380
733,13,6,9,0
1721,46,18,135,380
500,13,6,9,0
2289,102,9,9,0
1621,10,6,9,0
1657,16,3,0,0
704,10,6,9,0
