"0,2-nd","1,2-nd","3,2-nd","4,2-nd","5,2-nd"
2150760,1137,171,6192,46455
2753704,3233,837,101637,1438737
2218182,1718,444,50319,684380
2078054,742,69,702,0
4493374,10560,1038,85725,959614
2129181,1294,384,46458,790305
2785878,3906,684,63846,790305
2362700,1939,474,42489,466963
3983410,10913,942,71235,868585
2727116,2838,606,64332,771210
4466201,9983,384,11754,91048
2710172,4082,339,12465,91827
4599554,11816,2418,369621,7077177
4076522,12000,2271,360315,7059317
3039441,5291,1995,351621,7077177
2897428,5086,1935,342630,7059317
2856078,5520,1878,336942,7058234
2034957,355,21,0,0
4493853,10765,1326,113328,1390971
2083915,898,132,3123,19760
2479135,2896,720,71145,1035139
2745912,4664,1020,95238,1272221
4694006,11846,2148,286470,4302778
4161218,12330,1998,237024,3482776
2610117,3225,1218,193005,3468450
4488752,10582,1062,107055,1274330
3958595,10944,1062,103590,1274330
3932924,10539,606,33867,307515
4455016,9912,360,15498,0
3924079,10317,369,15498,0
4568210,11507,1920,229041,3220576
4039657,11847,1944,224757,3222229
2172842,1476,168,11862,112632
2170811,1327,108,3735,0
2160981,1141,39,0,0
2822514,5154,1332,187560,3190974
4498522,10598,1071,100827,1113856
3966172,11007,1146,100944,1116079
