0,1,2
1,44,399
1,241,453
1,18,241
1,126,241
1,16,241
1,99,433
1,94,433
1,8,433
1,18,71
1,49,71
1,18,125
1,94,125
1,17,125
1,16,125
1,49,125
1,78,296
1,18,274
1,274,1256
1,179,274
1,49,274
1,18,99
1,94,99
1,99,368
1,18,633
1,94,633
1,94,748
1,18,897
1,94,897
1,18,310
1,94,310
1,310,712
1,52,310
1,310,859
1,49,310
1,18,92
1,92,94
1,92,368
1,921,970
1,970,1013
1,126,453
1,645,1197
1,94,645
1,163,1005
1,49,163
1,277,1052
1,18,355
1,94,355
1,18,1148
1,94,1148
1,18,1309
1,1005,1310
1,745,1310
1,49,1310
1,94,658
1,8,658
1,18,67
1,67,179
1,16,67
1,239,460
1,16,460
1,18,205
1,18,1312
1,18,126
1,18,289
1,18,104
1,18,94
1,18,1256
1,18,697
1,18,703
1,18,687
1,18,244
1,18,179
1,18,258
1,17,18
1,18,746
1,16,18
1,18,199
1,8,18
1,18,557
1,18,561
1,18,1283
1,18,177
1,18,368
