"0,1-d","2,1-d","3,1-d"
550,0,0
552,4,5
551,2,0
552,4,0
551,2,0
550,0,0
550,0,0
551,2,0
555,10,50
550,0,0
550,0,0
552,4,5
551,2,0
556,12,45
553,6,15
553,6,15
552,4,5
555,10,40
550,0,0
550,0,0
550,0,0
550,0,0
550,0,0
550,0,0
550,0,0
553,6,15
550,0,0
550,0,0
553,6,15
559,10,45
550,0,0
550,0,0
550,0,0
550,0,0
551,2,0
552,4,5
550,0,0
551,2,0
550,0,0
550,0,0
550,0,0
550,0,0
554,8,30
553,6,15
550,0,0
552,4,5
550,0,0
551,2,0
557,14,70
552,4,5
551,2,0
550,0,0
552,4,5
551,2,0
550,0,0
557,12,60
552,4,5
551,2,0
550,0,0
555,8,30
550,0,0
550,0,0
550,0,0
552,4,5
553,4,5
550,0,0
552,4,5
551,2,0
551,2,0
551,2,0
550,0,0
550,0,0
550,0,0
550,0,0
562,16,105
552,4,5
552,2,0
551,2,0
550,0,0
556,10,15
151,14,105
17,14,105
316,14,105
210,14,105
17,14,105
17,14,105
206,6,15
408,4,5
4,2,0
406,2,0
409,6,15
101,8,15
207,6,15
5,2,0
407,4,0
3,2,0
8,2,0
492,86,1650
94,10,50
108,18,160
139,56,1160
231,60,1035
184,58,1290
222,72,1410
105,12,65
100,20,185
88,2,0
149,24,245
146,44,895
114,36,570
130,32,565
207,48,785
153,48,1020
99,20,145
107,30,470
118,38,760
110,28,290
94,12,60
109,26,370
95,16,75
396,88,1635
88,2,0
98,20,205
118,30,495
290,66,1395
148,44,805
91,8,30
110,34,390
89,4,5
212,80,1450
171,64,1245
100,16,140
180,62,1270
92,4,5
88,2,0
89,4,5
91,8,30
98,16,115
123,38,710
103,16,100
94,12,60
100,14,105
100,22,240
103,20,170
89,4,5
98,12,60
93,10,35
90,6,15
94,12,50
89,4,5
91,8,30
89,4,5
96,8,30
91,8,30
94,8,30
89,4,5
104,16,110
89,4,5
89,4,5
89,4,5
89,4,5
90,6,10
93,10,40
92,6,10
96,8,20
90,6,15
89,4,5
88,2,0
88,2,0
89,4,5
88,2,0
88,2,0
87,0,0
88,2,0
87,0,0
87,0,0
89,4,5
89,2,0
87,0,0
87,0,0
87,0,0
5,4,5
3,0,0
419,24,215
412,10,50
457,60,1215
549,142,2565
474,80,1465
406,2,0
411,12,50
416,22,185
412,14,75
416,22,240
502,102,1805
540,138,2365
411,12,75
411,12,70
409,8,30
418,18,175
472,110,1840
413,14,80
422,22,235
467,82,1405
464,68,1230
432,34,545
448,52,955
525,194,2735
416,18,95
471,108,2215
