"0,1-nd","2,1-nd","3,1-nd"
307780,0,0
307922,218,0
307983,226,0
307849,116,0
307780,0,0
307924,188,0
307984,218,4580
307858,128,1695
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307983,226,0
308184,432,7885
308449,628,18415
307780,0,0
307780,0,0
307867,150,2000
307780,0,0
308004,260,5705
307780,0,0
307780,0,0
307849,116,0
308120,418,10680
307780,0,0
307780,0,0
308006,372,5965
307780,0,0
307780,0,0
307788,10,0
307780,0,0
307780,0,0
307780,0,0
308068,410,6890
307780,0,0
307780,0,0
308005,416,8320
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307983,226,0
307818,76,0
308141,360,5495
307858,140,0
307780,0,0
307780,0,0
308092,520,9435
307780,0,0
307798,40,135
308235,452,9660
307780,0,0
308092,442,8725
307780,0,0
307780,0,0
307780,0,0
308244,450,11600
307780,0,0
307780,0,0
307780,0,0
307922,218,0
307805,54,375
307780,0,0
307788,14,0
307915,154,0
307780,0,0
307780,0,0
308089,260,0
307922,218,0
307922,218,0
307924,188,0
307936,216,3020
307922,218,0
307780,0,0
307780,0,0
308211,528,12575
307884,90,0
307858,140,0
307780,0,0
308620,1050,36455
307780,0,0
307780,0,0
308089,260,0
307842,112,0
307928,194,0
307780,0,0
307781,4,0
307788,14,0
308221,354,7840
307922,218,0
307782,6,0
307798,40,135
307922,218,0
307780,0,0
308154,376,6625
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307875,120,1845
308166,644,20240
308224,524,17390
307877,110,0
307919,164,2555
307780,0,0
307780,0,0
307780,0,0
307780,0,0
308682,638,12665
307922,218,0
307812,66,370
307922,218,0
308078,320,6690
308000,182,2670
307847,124,1590
307780,0,0
307781,4,0
307780,0,0
307989,270,6350
308823,1262,42325
307999,296,5920
307780,0,0
308137,414,8690
308140,576,14955
308089,260,0
307780,0,0
308089,260,0
307983,226,0
307842,112,0
307781,4,0
307895,180,3700
308195,354,7125
307780,0,0
307809,54,285
307922,218,0
307846,118,0
307783,8,0
307780,0,0
307780,0,0
307781,4,0
307999,296,5920
307780,0,0
307780,0,0
308002,362,6060
307842,112,0
308115,554,10890
307936,216,3020
308374,614,16125
307932,238,2760
308098,536,10715
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307936,216,3020
307780,0,0
307780,0,0
308075,486,10545
308424,552,15780
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307781,4,0
308002,362,6060
307780,0,0
307884,90,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
308135,438,13220
307895,180,3700
307780,0,0
307888,152,2610
307780,0,0
307781,4,0
308344,838,19655
308068,410,6890
307924,188,0
307780,0,0
307930,234,2670
307864,106,0
307780,0,0
308066,366,8270
307967,282,4065
307784,8,0
307780,0,0
308267,490,10970
307780,0,0
307780,0,0
307780,0,0
308153,376,6990
308182,374,7550
307780,0,0
307881,102,1585
307781,4,0
307922,218,0
307924,188,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
308777,952,32620
308235,452,9660
307886,98,0
307849,116,0
307780,0,0
307855,88,135
26280,718,34255
3100,224,34255
101469,890,34255
47119,842,34255
3108,236,34255
3108,236,34255
46704,482,13965
169935,610,11715
1755,8,0
169378,220,0
169691,554,14445
14023,288,14445
46559,486,14445
1059,10,0
169381,224,0
1055,6,0
1124,14,0
179812,4632,345400
12876,470,40560
13209,794,60750
17076,2574,302300
35841,2938,284425
24144,3042,317100
33166,3338,316365
12945,510,34625
12532,724,52380
11406,80,0
18084,1330,123630
17860,2226,276645
14492,1600,179915
16233,1734,209135
29353,2480,242680
19357,2614,294005
12290,636,34645
14052,1426,159995
14945,1888,237930
14056,1084,120355
12611,458,29195
13798,1196,121295
12319,476,25730
111030,4282,340175
11406,80,0
12646,780,61995
15128,1590,184335
56680,3758,331965
17899,2100,231910
11955,352,17775
13691,1236,104515
11431,114,2110
30341,3252,331420
21626,2876,318095
13351,750,73430
23206,2862,304750
11736,156,5260
11571,88,0
11717,154,5260
12329,334,18690
12562,628,40585
15363,1900,207480
13295,654,56010
12380,412,20995
13251,610,56170
13338,934,89720
12911,778,51430
12123,194,8515
12324,418,19375
12329,390,20680
11833,192,4580
12298,398,18980
11853,180,5705
11941,224,8725
11724,118,1845
12273,352,15235
11984,300,13220
12193,240,8725
11428,160,4410
12509,564,34515
11254,76,1265
11254,76,1265
11260,88,1385
11455,138,4115
11402,172,4560
11749,312,10740
11634,196,5085
11581,254,8570
11315,128,1905
11296,94,1480
11475,90,0
11269,76,0
11364,144,4050
11286,50,0
11286,50,0
11166,0,0
11189,30,0
11166,0,0
11166,0,0
11199,58,510
11273,66,0
11166,0,0
11166,0,0
11166,0,0
1593,16,3440
801,0,0
170694,1618,62740
170530,1100,40560
174730,3900,310855
193495,6358,445635
176536,4276,275505
169378,220,0
170131,852,23035
170893,1600,69445
169803,858,25025
171037,1772,92740
181798,4942,357165
190820,5840,403155
170747,1398,57130
170288,1048,32480
169828,674,16825
170186,1028,52245
176413,4768,306550
170355,1086,32610
171208,1812,82120
175738,4256,285860
175514,3894,307195
172146,2492,179015
173887,3646,273935
187007,6372,436730
170503,1220,43265
177011,5720,451275
169526,476,8295
171127,1488,65970
169621,462,11870
171706,2414,161460
172599,3052,240180
170318,1400,59560
170122,908,23505
171898,2928,188210
192444,5958,358425
171270,1964,96000
170775,1430,59455
170747,1684,70125
170094,878,19420
169500,420,7605
171884,2402,172545
169378,220,0
170632,1442,66165
172309,3272,197915
170906,1628,73600
170257,1012,32045
169896,664,19295
171710,2330,125100
170935,1546,67755
169519,462,7955
169378,220,0
169388,236,25
170418,1192,38315
170265,924,29185
169747,592,19470
170907,1606,67970
170241,962,27260
171452,1980,121770
268684,8338,543835
170300,1218,61995
169930,608,11715
170705,1392,57100
170933,1580,81790
169930,608,11715
169378,220,0
172782,3236,228120
214334,7866,508805
169883,780,21590
169464,318,6265
170070,818,18635
170140,874,20110
169664,572,14145
170899,1508,73380
169610,584,11235
169592,578,13330
175553,3598,255065
169514,450,8030
170132,880,22595
171345,1856,103745
169699,538,11555
169455,314,5610
187995,5020,369555
179280,4636,345430
169519,462,7955
178014,4578,292710
170243,832,22575
169653,558,14890
170128,862,20700
171005,1608,77790
173009,3502,212385
180860,4440,324860
171050,1926,88440
169683,430,11930
170699,1476,64010
169953,692,15040
170475,1126,39675
169786,518,8905
169786,518,8905
169786,518,8905
